Quote,Clear
""" В то время как сила Первичной причины заключается в причинно-следственной связи,  она проявляется в процессе через мысли,  восприятие и концепцию.  Сила Первичной причины заключается в расшифровке того,  что воспринимается с упорядоченного плана,  и в вынесении суждений с помощью мыслей из неупорядоченного"" . 
",в то время как сила первичной причины заключается в причинно-следственной связи она проявляется в процессе через мысли восприятие и концепцию сила первичной причины заключается в расшифровке того что воспринимается с упорядоченного плана и в вынесении суждений с помощью мыслей из неупорядоченного
"Больше не нужно грабить Петра,  чтобы заплатить Павлу Космическим Порядком. 
",больше не нужно грабить петра чтобы заплатить павлу космическим порядком
""" В фактах или мнениях,  которые должны пройти через руки стольких людей,  быть неверно понятыми по глупости одних и невежеству других,  вряд ли может остаться много правды"" . 
",в фактах или мнениях которые должны пройти через руки стольких людей быть неверно понятыми по глупости одних и невежеству других вряд ли может остаться много правды
"Хорошо развитое чувство юмора - это тот стержень,  который придает равновесие вашим шагам,  когда вы идете по натянутому канату жизни. 
",хорошо развитое чувство юмора это тот стержень который придает равновесие вашим шагам когда вы идете по натянутому канату жизни
""" Люди должны прощать.  Нам не обязательно любить их,  нам не обязательно дружить с ними,  нам не обязательно посылать им сердечки в текстовых сообщениях,  но мы должны простить их,  не обращать внимания,  забыть.  Потому что,  если мы этого не сделаем,  мы привяжем к своим ногам камни,  которые слишком тяжелы для наших крыльев! "" 
",люди должны прощать нам не обязательно любить их нам не обязательно дружить с ними нам не обязательно посылать им сердечки в текстовых сообщениях но мы должны простить их не обращать внимания забыть потому что если мы этого не сделаем мы привяжем к своим ногам камни которые слишком тяжелы для наших крыльев
""" Я ищу тебя в каждой жизни,  но не всегда нахожу.  И иногда я нахожу тебя слишком поздно"" . 
",я ищу тебя в каждой жизни но не всегда нахожу и иногда я нахожу тебя слишком поздно
""" Факт в том,  что больше людей было убито во имя религии,  чем по какой-либо другой причине.  Это,  друзья мои,  это настоящее извращение! "" 
",факт в том что больше людей было убито во имя религии чем по какой-либо другой причине это друзья мои это настоящее извращение
""" Я прибыл,  я увидел людей и я видел их лица насквозь.  Ничто никогда не меняется,  кроме света в их глазах.  Ибо я тоже похоронил своих демонов сегодня,  не зная,  что может остаться под маской завтрашнего дня"" . 
",я прибыл я увидел людей и я видел их лица насквозь ничто никогда не меняется кроме света в их глазах ибо я тоже похоронил своих демонов сегодня не зная что может остаться под маской завтрашнего дня
""" истина - это то,  что делает людей уверенными,  ясными и сильными"" . 
",истина это то что делает людей уверенными ясными и сильными
"Современное искусство - это то,  что происходит,  когда художники перестают смотреть на девушек и убеждают себя,  что у них есть идея получше. 
",современное искусство это то что происходит когда художники перестают смотреть на девушек и убеждают себя что у них есть идея получше
"Освобождение происходит каждый раз,  когда мы начинаем осознавать содержимое души. 
",освобождение происходит каждый раз когда мы начинаем осознавать содержимое души
""" Если вы научитесь ценить время,  у вас его будет достаточно.  Если вы не цените время,  то будете страдать от его нехватки"" . 
",если вы научитесь ценить время у вас его будет достаточно если вы не цените время то будете страдать от его нехватки
"Знайте историю великих предков. 
",знайте историю великих предков
"Только развитие сострадания и понимания к другим может принести нам спокойствие и счастье,  к которым мы все стремимся. 
",только развитие сострадания и понимания к другим может принести нам спокойствие и счастье к которым мы все стремимся
"Я думаю,  она только что спросила,  можно ли ей потрогать мое манго. 
",я думаю она только что спросила можно ли ей потрогать мое манго
""" Образование либо функционирует как инструмент,  который используется для содействия интеграции молодого поколения в логику существующей системы и обеспечения соответствия,  либо оно становится практикой свободы,  средством,  с помощью которого мужчины и женщины критически и творчески относятся к реальности и узнают,  как участвовать в преобразовании своего мира. "" 
",образование либо функционирует как инструмент который используется для содействия интеграции молодого поколения в логику существующей системы и обеспечения соответствия либо оно становится практикой свободы средством с помощью которого мужчины и женщины критически и творчески относятся к реальности и узнают как участвовать в преобразовании своего мира
""" Когда вы проходите через трудный период,  когда кажется,  что все против вас. . .  Когда вы чувствуете,  что не можете вынести больше ни минуты,  НИКОГДА НЕ СДАВАЙТЕСЬ! Потому что это время и место,  которые изменят курс! "" 
",когда вы проходите через трудный период когда кажется что все против вас когда вы чувствуете что не можете вынести больше ни минуты никогда не сдавайтесь потому что это время и место которые изменят курс
""" Ты должен пообещать мне.  Нельзя желать цели,  не желая средств. "" Ах,  но можно,  - подумал он,  - можно:  можно желать мира победы,  не желая разоренных городов"" . 
",ты должен пообещать мне нельзя желать цели не желая средств ах но можно подумал он можно можно желать мира победы не желая разоренных городов
"Юмор всегда основан на толике правды.  Вы когда-нибудь слышали шутку о тесте? 
",юмор всегда основан на толике правды вы когда-нибудь слышали шутку о тесте
"Вам не обязательно оставаться в ловушке своих мыслей только потому,  что вы так думаете. 
",вам не обязательно оставаться в ловушке своих мыслей только потому что вы так думаете
""" Нормально одеваться в одежду,  которую вы покупаете для работы,  и проезжать через пробки на машине,  за которую вы все еще платите - чтобы добраться до работы,  вам нужно заплатить за одежду и машину,  а дом вы оставляете пустым на весь день,  чтобы вы могли позволить себе жить в нем. "" 
",нормально одеваться в одежду которую вы покупаете для работы и проезжать через пробки на машине за которую вы все еще платите чтобы добраться до работы вам нужно заплатить за одежду и машину а дом вы оставляете пустым на весь день чтобы вы могли позволить себе жить в нем
"Мой мир - это истории,  которые развлекают;  эмоции,  которые волнуют;  люди,  которых вы запомните;  литература,  которая имеет значение. 
",мой мир это истории которые развлекают эмоции которые волнуют люди которых вы запомните литература которая имеет значение
"Наша всепрощающая любовь к людям - это свидетельство Божьей всепрощающей любви в нас.  Это необходимое условие молитвы веры. 
",наша всепрощающая любовь к людям это свидетельство божьей всепрощающей любви в нас это необходимое условие молитвы веры
"Деньги - это еще не все. . . но он стоит в одном ряду с кислородом. 
",деньги это еще не все но он стоит в одном ряду с кислородом
"Почему женщины. . .  намного интереснее для мужчин,  чем мужчины для женщин? 
",почему женщины намного интереснее для мужчин чем мужчины для женщин
""" Я люблю тебя.  Я тот,  кто я есть,  благодаря тебе.  Ты - каждая причина,  каждая надежда и каждая мечта,  которые у меня когда-либо были,  и неважно,  что случится с нами в будущем,  каждый день,  когда мы вместе,  - это величайший день в моей жизни.  Я всегда буду твоей"" . 
",я люблю тебя я тот кто я есть благодаря тебе ты каждая причина каждая надежда и каждая мечта которые у меня когда-либо были и неважно что случится с нами в будущем каждый день когда мы вместе это величайший день в моей жизни я всегда буду твоей
"У меня самые простые вкусы.  Я всегда довольствуюсь лучшим. 
",у меня самые простые вкусы я всегда довольствуюсь лучшим
"Я предпочел бы быть несчастным,  любя тебя,  чем счастливым с кем-либо другим. 
",я предпочел бы быть несчастным любя тебя чем счастливым с кем-либо другим
""" Переделывайте мир понемногу,  каждый в своем уголке мира"" . 
",переделывайте мир понемногу каждый в своем уголке мира
""" Наконец-то я вернулся домой!  Это моя настоящая страна!  Здесь мое место.  Это земля,  которую я искал всю свою жизнь,  хотя до сих пор и не подозревал об этом. . . Поднимайся выше,  заходи глубже! "" 
",наконец-то я вернулся домой это моя настоящая страна здесь мое место это земля которую я искал всю свою жизнь хотя до сих пор и не подозревал об этом поднимайся выше заходи глубже
""" Там,  где заканчиваются слова,  начинается музыка"" . 
",там где заканчиваются слова начинается музыка
""" Что касается меня,  то я прожил 45 лет и понял только одну вещь.  Вот что:  если человек просто приложит усилия,  из всего можно чему-то научиться.  Даже из самых обычных,  банальных вещей всегда можно чему-то научиться.  Я где-то читал,  что они сказали,  что у бритв даже другая философия.  Факт в том,  что если бы не это,  никто бы не выжил. "" 
",что касается меня то я прожил 45 лет и понял только одну вещь вот что если человек просто приложит усилия из всего можно чему-то научиться даже из самых обычных банальных вещей всегда можно чему-то научиться я где-то читал что они сказали что у бритв даже другая философия факт в том что если бы не это никто бы не выжил
"Нет никого счастливее,  чем тот,  кто способен контролировать свою жизнь.  Кто делает то,  что считает правильным.  Кто угождает себе перед всеми.  Кто не страдает синдромом "" что скажут люди"" .  Когда у вас будет время.  Найдите способ доставить себе удовольствие.  Тогда вы будете самым счастливым человеком на свете. 
",нет никого счастливее чем тот кто способен контролировать свою жизнь кто делает то что считает правильным кто угождает себе перед всеми кто не страдает синдромом что скажут люди когда у вас будет время найдите способ доставить себе удовольствие тогда вы будете самым счастливым человеком на свете
""" Великий дар Пасхи - это надежда - христианская надежда,  которая дает нам ту уверенность в Боге,  в его окончательном торжестве,  в его доброте и любви,  которую ничто не может поколебать"" . 
",великий дар пасхи это надежда христианская надежда которая дает нам ту уверенность в боге в его окончательном торжестве в его доброте и любви которую ничто не может поколебать
""" Что касается ли мучо и анды мучо,  то ты мучо и сабе мучо"" . 
",что касается ли мучо и анды мучо то ты мучо и сабе мучо
""" Если невротик хочет двух взаимоисключающих вещей в одно и то же время,  тогда я невротик до чертиков.  Я буду метаться туда-сюда между одной взаимоисключающей вещью и другой до конца своих дней"" . 
",если невротик хочет двух взаимоисключающих вещей в одно и то же время тогда я невротик до чертиков я буду метаться туда-сюда между одной взаимоисключающей вещью и другой до конца своих дней
""" Китайцы использовали порох для изготовления праздничных фейерверков,  а белый человек пришел и сказал:  "" Черт возьми,  мы можем использовать это,  чтобы убивать людей"" .  Что может быть лучше для празднования,  чем это? "" 
",китайцы использовали порох для изготовления праздничных фейерверков а белый человек пришел и сказал черт возьми мы можем использовать это чтобы убивать людей что может быть лучше для празднования чем это
""" Я чувствовал бы себя бесконечно комфортнее в вашем присутствии,  если бы вы согласились рассматривать гравитацию как закон,  а не как один из множества предложенных вариантов"" . 
",я чувствовал бы себя бесконечно комфортнее в вашем присутствии если бы вы согласились рассматривать гравитацию как закон а не как один из множества предложенных вариантов
""" Если вы хотите покоя,  наполните свой разум мирными мыслями"" . 
",если вы хотите покоя наполните свой разум мирными мыслями
""" Мы - одна из тех пар,  за которыми я обычно наблюдал,  думая про себя,  что никогда не был бы внутри чего-то настолько особенного.  Я помню,  как убеждала себя,  что это,  вероятно,  выглядело приятнее,  чем было на самом деле,  и я рада,  что ошиблась на этот счет"" . 
",мы одна из тех пар за которыми я обычно наблюдал думая про себя что никогда не был бы внутри чего-то настолько особенного я помню как убеждала себя что это вероятно выглядело приятнее чем было на самом деле и я рада что ошиблась на этот счет
