Quote,Clear
""" А книги,  они дают одну надежду - что между обложками может открыться целая вселенная,  и,  попав в эту вселенную,  человек спасен"" . 
",а книги они дают одну надежду что между обложками может открыться целая вселенная и попав в эту вселенную человек спасен
""" Кто сказал,  что жизнь справедлива,  где это написано? "" 
",кто сказал что жизнь справедлива где это написано
""" Куда бы вы ни пошли,  никогда не забывайте быть вестником и причиной счастья"" . 
",куда бы вы ни пошли никогда не забывайте быть вестником и причиной счастья
"Старайтесь быть похожими на черепаху - чувствовать себя непринужденно в своем собственном панцире. 
",старайтесь быть похожими на черепаху чувствовать себя непринужденно в своем собственном панцире
"Высшая форма уважения - это искренне демонстрировать свое присутствие. 
",высшая форма уважения это искренне демонстрировать свое присутствие
"Что горячо [ 10 Вт]  +  { Куплет}  Мы неправильно предполагаем,  что то,  что горячо,  становится тем,  чем мы не являемся. 
",что горячо 10 вт куплет мы неправильно предполагаем что то что горячо становится тем чем мы не являемся
""" Везде,  где собирается много людей,  происходит общение.  Мое любимое место для общения - кладбище"" . 
",везде где собирается много людей происходит общение мое любимое место для общения кладбище
"Не все можно почувствовать и не все когда-либо будет понято. 
",не все можно почувствовать и не все когда-либо будет понято
"Враги моих врагов,  которые знали,  что враги моих врагов были хорошими танцорами. 
",враги моих врагов которые знали что враги моих врагов были хорошими танцорами
""" Выяснить,  к чему ты способен,  и обеспечить себе возможность сделать это - ключ к счастью"" . 
",выяснить к чему ты способен и обеспечить себе возможность сделать это ключ к счастью
"Я готовлю.  Мое любимое занятие - это любовь. 
",я готовлю мое любимое занятие это любовь
""" Просто жить недостаточно"" ,  - сказала бабочка,  - "" у человека должны быть солнечный свет,  свобода и маленький цветок"" . 
",просто жить недостаточно сказала бабочка у человека должны быть солнечный свет свобода и маленький цветок
""" Говорят,  то,  что не убивает душу,  сделает тебя сильнее,  но ты не можешь быть человеком с каменным сердцем"" . 
",говорят то что не убивает душу сделает тебя сильнее но ты не можешь быть человеком с каменным сердцем
""" С идеей,  как с призраком,  нужно немного поговорить,  прежде чем она объяснит сама себя"" . 
",с идеей как с призраком нужно немного поговорить прежде чем она объяснит сама себя
"Больше не нужно грабить Петра,  чтобы заплатить Павлу Космическим Порядком. 
",больше не нужно грабить петра чтобы заплатить павлу космическим порядком
"Хорошо развитое чувство юмора - это тот стержень,  который придает равновесие вашим шагам,  когда вы идете по натянутому канату жизни. 
",хорошо развитое чувство юмора это тот стержень который придает равновесие вашим шагам когда вы идете по натянутому канату жизни
""" Я ищу тебя в каждой жизни,  но не всегда нахожу.  И иногда я нахожу тебя слишком поздно"" . 
",я ищу тебя в каждой жизни но не всегда нахожу и иногда я нахожу тебя слишком поздно
""" Факт в том,  что больше людей было убито во имя религии,  чем по какой-либо другой причине.  Это,  друзья мои,  это настоящее извращение! "" 
",факт в том что больше людей было убито во имя религии чем по какой-либо другой причине это друзья мои это настоящее извращение
""" истина - это то,  что делает людей уверенными,  ясными и сильными"" . 
",истина это то что делает людей уверенными ясными и сильными
"Современное искусство - это то,  что происходит,  когда художники перестают смотреть на девушек и убеждают себя,  что у них есть идея получше. 
",современное искусство это то что происходит когда художники перестают смотреть на девушек и убеждают себя что у них есть идея получше
"Освобождение происходит каждый раз,  когда мы начинаем осознавать содержимое души. 
",освобождение происходит каждый раз когда мы начинаем осознавать содержимое души
""" Если вы научитесь ценить время,  у вас его будет достаточно.  Если вы не цените время,  то будете страдать от его нехватки"" . 
",если вы научитесь ценить время у вас его будет достаточно если вы не цените время то будете страдать от его нехватки
"Знайте историю великих предков. 
",знайте историю великих предков
"Только развитие сострадания и понимания к другим может принести нам спокойствие и счастье,  к которым мы все стремимся. 
",только развитие сострадания и понимания к другим может принести нам спокойствие и счастье к которым мы все стремимся
"Я думаю,  она только что спросила,  можно ли ей потрогать мое манго. 
",я думаю она только что спросила можно ли ей потрогать мое манго
""" Ты должен пообещать мне.  Нельзя желать цели,  не желая средств. "" Ах,  но можно,  - подумал он,  - можно:  можно желать мира победы,  не желая разоренных городов"" . 
",ты должен пообещать мне нельзя желать цели не желая средств ах но можно подумал он можно можно желать мира победы не желая разоренных городов
"Юмор всегда основан на толике правды.  Вы когда-нибудь слышали шутку о тесте? 
",юмор всегда основан на толике правды вы когда-нибудь слышали шутку о тесте
"Вам не обязательно оставаться в ловушке своих мыслей только потому,  что вы так думаете. 
",вам не обязательно оставаться в ловушке своих мыслей только потому что вы так думаете
"Мой мир - это истории,  которые развлекают;  эмоции,  которые волнуют;  люди,  которых вы запомните;  литература,  которая имеет значение. 
",мой мир это истории которые развлекают эмоции которые волнуют люди которых вы запомните литература которая имеет значение
"Наша всепрощающая любовь к людям - это свидетельство Божьей всепрощающей любви в нас.  Это необходимое условие молитвы веры. 
",наша всепрощающая любовь к людям это свидетельство божьей всепрощающей любви в нас это необходимое условие молитвы веры
"Деньги - это еще не все. . . но он стоит в одном ряду с кислородом. 
",деньги это еще не все но он стоит в одном ряду с кислородом
"Почему женщины. . .  намного интереснее для мужчин,  чем мужчины для женщин? 
",почему женщины намного интереснее для мужчин чем мужчины для женщин
"У меня самые простые вкусы.  Я всегда довольствуюсь лучшим. 
",у меня самые простые вкусы я всегда довольствуюсь лучшим
"Я предпочел бы быть несчастным,  любя тебя,  чем счастливым с кем-либо другим. 
",я предпочел бы быть несчастным любя тебя чем счастливым с кем-либо другим
""" Переделывайте мир понемногу,  каждый в своем уголке мира"" . 
",переделывайте мир понемногу каждый в своем уголке мира
""" Там,  где заканчиваются слова,  начинается музыка"" . 
",там где заканчиваются слова начинается музыка
""" Что касается ли мучо и анды мучо,  то ты мучо и сабе мучо"" . 
",что касается ли мучо и анды мучо то ты мучо и сабе мучо
""" Если вы хотите покоя,  наполните свой разум мирными мыслями"" . 
",если вы хотите покоя наполните свой разум мирными мыслями
""" Пасха должна быть символом надежды,  обновления и новой жизни"" . 
",пасха должна быть символом надежды обновления и новой жизни
""" В политическом плане я чувствую себя оторванным,  как будто на мне перчатки —  боксерские перчатки.  Нам нужно действовать голыми руками,  чтобы дать отпор окопавшемуся истеблишменту"" . 
",в политическом плане я чувствую себя оторванным как будто на мне перчатки боксерские перчатки нам нужно действовать голыми руками чтобы дать отпор окопавшемуся истеблишменту
""" Я не тело с душой,  я душа,  у которой есть видимая часть,  называемая телом"" . 
",я не тело с душой я душа у которой есть видимая часть называемая телом
""" спасение для слабых,  вот что я думаю.  Я не хочу спасения,  я хочу жизни,  всей жизни,  как жалкой,  так и великолепной"" . 
",спасение для слабых вот что я думаю я не хочу спасения я хочу жизни всей жизни как жалкой так и великолепной
"Некоторые люди только мечтают об успехе…  в то время как другие просыпаются и используют Космический порядок. 
",некоторые люди только мечтают об успехе в то время как другие просыпаются и используют космический порядок
"Время - это монета вашей жизни.  Вы тратите его.  Не позволяйте другим тратить его за вас. 
",время это монета вашей жизни вы тратите его не позволяйте другим тратить его за вас
"Птица в безопасности в своем гнезде,  но ее крылья созданы не для этого. 
",птица в безопасности в своем гнезде но ее крылья созданы не для этого
"Сознание делает вас неограниченным существом,  наделяя силой вашего воображения. 
",сознание делает вас неограниченным существом наделяя силой вашего воображения
""" Ты опасен” ,  - говорит он. "" почему? ” “ Потому что ты заставляешь меня поверить в невозможное"" 
",ты опасен говорит он почему потому что ты заставляешь меня поверить в невозможное
""" Мода и музыка - это одно и то же,  потому что музыка тоже выражает свой период"" . 
",мода и музыка это одно и то же потому что музыка тоже выражает свой период
""" Я действительно даже не знаю тебя,  и все же в моей жизни ты навсегда запутался;  с моей историей ты неразрывно связан"" . 
",я действительно даже не знаю тебя и все же в моей жизни ты навсегда запутался с моей историей ты неразрывно связан
"Не позволяйте пройти еще одному дню,  когда ваша приверженность мнению других людей будет больше,  чем вашим собственным эмоциям! 
",не позволяйте пройти еще одному дню когда ваша приверженность мнению других людей будет больше чем вашим собственным эмоциям
"Совершенная любовь - самое прекрасное из всех разочарований,  потому что это больше,  чем можно выразить. 
",совершенная любовь самое прекрасное из всех разочарований потому что это больше чем можно выразить
""" Но когда в твоей жизни ничего не происходит в позитивном ключе,  трудно мыслить позитивно и надеяться на лучшее"" . 
",но когда в твоей жизни ничего не происходит в позитивном ключе трудно мыслить позитивно и надеяться на лучшее
""" Помни,  как далеко ты продвинулся,  и тебе не придется полагаться на судьбу в своем будущем.  Оно придет само"" . 
",помни как далеко ты продвинулся и тебе не придется полагаться на судьбу в своем будущем оно придет само
""" Шей,  вы,  ребята,  такие раскованные,  что удивительно,  как у вас задницы не отваливаются"" . 
",шей вы ребята такие раскованные что удивительно как у вас задницы не отваливаются
"Учитель сказал,  что ты должен писать то,  что видишь. Но то,  что вижу я,  меня не трогает. Учитель ответил:  Измени то,  что видишь ты. 
",учитель сказал что ты должен писать то что видишь но то что вижу я меня не трогает учитель ответил измени то что видишь ты
""" Эйвери,  если мальчик по имени Эйвери женится на девочке по имени Эйвери,  назовут ли они своих детей или просто наклеят ярлык? "" 
",эйвери если мальчик по имени эйвери женится на девочке по имени эйвери назовут ли они своих детей или просто наклеят ярлык
"Одно "" сегодня""  стоит двух "" завтра"" . 
",одно сегодня стоит двух завтра
"Успех наступит в тот момент,  когда вы перестанете беспокоиться об успехе. 
",успех наступит в тот момент когда вы перестанете беспокоиться об успехе
""" Хората се страхуват от бъдещето,  живеейки в миналото! "" 
",хората се страхуват от бъдещето живеейки в миналото
"Привилегия всей жизни - быть тем,  кто ты есть. 
",привилегия всей жизни быть тем кто ты есть
"Легко ненавидеть и трудно любить.  Вот как работает вся схема вещей.  Всего хорошего трудно достичь,  а плохого очень легко добиться. 
",легко ненавидеть и трудно любить вот как работает вся схема вещей всего хорошего трудно достичь а плохого очень легко добиться
"Может быть,  это НЕ Maybelline.  Может быть,  вы просто родились с этим. 
",может быть это не может быть вы просто родились с этим
"таким образом,  с поцелуем я умираю
",таким образом с поцелуем я умираю
"Мир гибнет из-за недостатка знания о Боге,  а Церковь страдает от недостатка Его Присутствия. 
",мир гибнет из-за недостатка знания о боге а церковь страдает от недостатка его присутствия
"Как мало нужно мыслей,  чтобы наполнить жизнь. 
",как мало нужно мыслей чтобы наполнить жизнь
"Сомнение убивает больше мечтаний,  чем неудача. 
",сомнение убивает больше мечтаний чем неудача
"Оригинальность - это тонкое искусство запоминать то,  что ты слышишь,  но забывать,  где ты это слышал. 
",оригинальность это тонкое искусство запоминать то что ты слышишь но забывать где ты это слышал
""" Если ты хочешь украсть мое сердце,  ты должен понимать,  что это не разовое ограбление.  Эта кража займет каждую минуту твоей оставшейся жизни"" . 
",если ты хочешь украсть мое сердце ты должен понимать что это не разовое ограбление эта кража займет каждую минуту твоей оставшейся жизни
""" Он сказал "" "" круто"" "" как будто я произношу испанское слово,  когда не уверен в произношении"" . 
",он сказал круто как будто я произношу испанское слово когда не уверен в произношении
"Пацифизм Ничто так не превращает солдата в пацифиста или убийцу,  как наблюдение за действиями на войне. 
",пацифизм ничто так не превращает солдата в пацифиста или убийцу как наблюдение за действиями на войне
"Пусть восход солнца каждое утро приносит вам свет любви и радости. 
",пусть восход солнца каждое утро приносит вам свет любви и радости
"Дешевые рифмовки и дешевая мелодия иногда так же опасны,  как лунный луч. 
",дешевые рифмовки и дешевая мелодия иногда так же опасны как лунный луч
"Некоторые призраки или ощущаемое присутствие могут быть просто сущностью другого живого человека,  спроецированной наружу во время сна. 
",некоторые призраки или ощущаемое присутствие могут быть просто сущностью другого живого человека спроецированной наружу во время сна
"Даже для меня в жизни были свои проблески солнечного света. 
",даже для меня в жизни были свои проблески солнечного света
"Мудрый человек использует больше возможностей,  чем находит. 
",мудрый человек использует больше возможностей чем находит
"Нет ничего страшнее невежества в действии. 
",нет ничего страшнее невежества в действии
"Трагедия жизни - это то,  что умирает внутри человека,  пока он жив. 
",трагедия жизни это то что умирает внутри человека пока он жив
""" Искушения нужно не бояться,  а контролировать"" . 
",искушения нужно не бояться а контролировать
"Мужчине повезло,  если он - первая любовь женщины.  Женщине повезло,  если она последняя любовь мужчины. 
",мужчине повезло если он первая любовь женщины женщине повезло если она последняя любовь мужчины
""" Истории могут победить страх,  знаете ли.  Они могут сделать сердце больше"" . 
",истории могут победить страх знаете ли они могут сделать сердце больше
""" Если их использование читателями не оживит их,  книги действительно станут мертвыми вещами"" . 
",если их использование читателями не оживит их книги действительно станут мертвыми вещами
""" Человек,  который был наказан,  не просто становится менее склонен вести себя определенным образом;  в лучшем случае он учится избегать наказания"" . 
",человек который был наказан не просто становится менее склонен вести себя определенным образом в лучшем случае он учится избегать наказания
"Разбитое сердце [ 10w]  Разбитое сердце похоже на сердечный приступ,  но без больничных счетов. 
",разбитое сердце 10 разбитое сердце похоже на сердечный приступ но без больничных счетов
"Всему свое время - это то,  чему не следует Космический порядок. 
",всему свое время это то чему не следует космический порядок
""" Приписываю ли я свой успех тяжелой работе или солнцезащитному крему?  Если вы хотите знать правду,  возможно,  вам стоит спросить моего нового секретаря-альбиноса"" . 
",приписываю ли я свой успех тяжелой работе или солнцезащитному крему если вы хотите знать правду возможно вам стоит спросить моего нового секретаря-альбиноса
"тело мудрее,  чем его обитатели.  тело - это душа.  тело - божий посланник. 
",тело мудрее чем его обитатели тело это душа тело божий посланник
"Даже душа,  погруженная в сон,  усердно трудится и помогает что-то сделать с миром. 
",даже душа погруженная в сон усердно трудится и помогает что-то сделать с миром
"Напишите,  что вы знаете.  Это должно оставить вам много свободного времени. 
",напишите что вы знаете это должно оставить вам много свободного времени
"Прошлой ночью ты мне приснился. .  Ты был в тропических лесах Амазонки и лаял,  как собака. 
",прошлой ночью ты мне приснился ты был в тропических лесах амазонки и лаял как собака
""" истину,  как и золото,  можно получить не путем ее роста,  а путем смывания с нее всего,  что не является золотом"" . 
",истину как и золото можно получить не путем ее роста а путем смывания с нее всего что не является золотом
""" Если вы считаете,  что образование стоит дорого,  попробуйте невежество"" . 
",если вы считаете что образование стоит дорого попробуйте невежество
""" Сама суть творчества заключается в его новизне,  и,  следовательно,  у нас нет стандарта,  по которому можно судить о нем"" . 
",сама суть творчества заключается в его новизне и следовательно у нас нет стандарта по которому можно судить о нем
"Однажды утром я проснулся и обнаружил,  что знаменит. 
",однажды утром я проснулся и обнаружил что знаменит
""" Спасибо тебе за жизнь и за все маленькие взлеты и падения,  ради которых стоит жить"" . 
",спасибо тебе за жизнь и за все маленькие взлеты и падения ради которых стоит жить
"Щедрость земли поглощает наш компост и выращивает красоту!  Постарайся быть больше похожим на землю. 
",щедрость земли поглощает наш компост и выращивает красоту постарайся быть больше похожим на землю
""" Если вы хотите чего-то добиться в жизни,  вы просто должны это делать,  и если вы талантливы и умны,  вы добьетесь успеха"" . 
",если вы хотите чего-то добиться в жизни вы просто должны это делать и если вы талантливы и умны вы добьетесь успеха
""" Счастье - это то,  что вы осаждаете,  это битва,  подобная игре в го.  Я возьму всю боль в свои руки и уничтожу ее"" . 
",счастье это то что вы осаждаете это битва подобная игре в го я возьму всю боль в свои руки и уничтожу ее
""" Реформатор всегда прав в том,  что неправильно.  Однако он часто ошибается в том,  что правильно"" . 
",реформатор всегда прав в том что неправильно однако он часто ошибается в том что правильно
""" Чем больше я читаю,  тем меньше знаю"" . 
",чем больше я читаю тем меньше знаю
""" Те,  кто не ценит свои слова,  никогда не оценят ваши желания"" . 
",те кто не ценит свои слова никогда не оценят ваши желания
""" В еврейском юморе есть очарование,  ритм,  душа.  Когда я впервые увидел выступление Ричарда Прайора,  я сказал ему:  "" Ты исполняешь еврейский номер"" . 
",в еврейском юморе есть очарование ритм душа когда я впервые увидел выступление ричарда прайора я сказал ему ты исполняешь еврейский номер
"Я страстный ученик. 
",я страстный ученик
"Ты дезориентирован.  Вы только что проснулись.  Вы в будущем.  Вы проспали восемь часов. 
",ты дезориентирован вы только что проснулись вы в будущем вы проспали восемь часов
"Великая цель образования. . .  состоит в том,  чтобы убеждать и вдохновлять на искреннюю любовь к добродетели. 
",великая цель образования состоит в том чтобы убеждать и вдохновлять на искреннюю любовь к добродетели
""" Чтобы добиться успеха,  вы должны точно решить,  чего вы хотите достичь,  а затем принять решение заплатить цену,  чтобы получить это"" . 
",чтобы добиться успеха вы должны точно решить чего вы хотите достичь а затем принять решение заплатить цену чтобы получить это
"Я потерял утешение в вере,  но не стремление поклоняться
",я потерял утешение в вере но не стремление поклоняться
"Я смотрел в твои глаза своими глазами.  Я приложил свое сердце к твоему сердцу. 
",я смотрел в твои глаза своими глазами я приложил свое сердце к твоему сердцу
""" От одной свечи можно зажечь тысячи свечей,  и срок службы свечи не сократится.  Счастье никогда не уменьшается от того,  что им делятся"" . 
",от одной свечи можно зажечь тысячи свечей и срок службы свечи не сократится счастье никогда не уменьшается от того что им делятся
"Лак для ногтей телесного цвета выигрывает у замысловатого нейл-арта. 
",лак для ногтей телесного цвета выигрывает у замысловатого нейл-арта
""" Если после прочтения этой книги вы придете ко мне домой и жестоко убьете меня,  я вас не виню"" . 
",если после прочтения этой книги вы придете ко мне домой и жестоко убьете меня я вас не виню
""" Когда тело избежало увечий,  сердце редко уходило в могилу без шрамов"" . 
",когда тело избежало увечий сердце редко уходило в могилу без шрамов
"Белла.  Ты всегда была моей душой. 
",белла ты всегда была моей душой
""" Священнослужители,  дающие обет безбрачия,  - особенно хорошая идея,  потому что это,  как правило,  подавляет любую наследственную склонность к фанатизму"" . 
",священнослужители дающие обет безбрачия особенно хорошая идея потому что это как правило подавляет любую наследственную склонность к фанатизму
""" Кости всегда был умным"" ,  - пробормотала я.  "" "" Его интеллект был просто замаскирован под горой дерьма"" .  "" Кот"" 
",кости всегда был умным пробормотала я его интеллект был просто замаскирован под горой дерьма кот
""" Она читает много книг.  Хорошие вещи,  книги"" . 
",она читает много книг хорошие вещи книги
""" Если A - это успех в жизни,  то A равно x плюс y плюс z.  Работа - это x;  y - это игра;  а z - это держать рот на замке"" 
",если это успех в жизни то равно плюс плюс работа это это игра а это держать рот на замке
"Каждый цветок расцветает в разном темпе. 
",каждый цветок расцветает в разном темпе
"Сломайте корешок одной из моих книг,  и я сломаю вашу. 
",сломайте корешок одной из моих книг и я сломаю вашу
"Жизнь нужно проживать как игру. 
",жизнь нужно проживать как игру
""" Груда камней перестает быть грудой камней в тот момент,  когда одинокий человек созерцает ее,  неся в себе образ собора"" . 
",груда камней перестает быть грудой камней в тот момент когда одинокий человек созерцает ее неся в себе образ собора
"Вещи всегда становятся очевидными постфактум
",вещи всегда становятся очевидными постфактум
""" Нам всем слишком часто говорят,  что мы слишком старые,  слишком молодые,  слишком разные,  слишком во многом одинаковые,  и эти комментарии могут быть разрушительными"" . 
",нам всем слишком часто говорят что мы слишком старые слишком молодые слишком разные слишком во многом одинаковые и эти комментарии могут быть разрушительными
